id,birthday,stayInDest,freeFlowVeloc,premovementTime,torsoDiameter,groupID,groupSize,origin,destination,navigation,pathID
0,1.053767453416149,,1.5979740587953644,0.0,0.39236202272798837,-1,1,ubahn-1,dest-lvl01-midSouth-right,fastest,metro-inside-lvlB01ANDlvl01Mdests
1,1.053767453416149,,1.0574986608909032,0.0,0.3947190303484211,-1,1,ubahn-2,dest-lvl01M-midNorth-right,fastest,metro-inside-lvlB01ANDlvl01Mdests-visitors
2,2.107534906832298,,1.4035660974873694,0.0,0.41923780663797383,-1,1,ubahn-1,dest-lvl01-mid,fastest,metro-outside-lvlB01ANDlvl01Mdests
3,2.107534906832298,,1.3253690834363807,0.0,0.41597340046445974,-1,1,ubahn-1,dest-lvl01-mid,fastest,metro-inside-lvlB01ANDlvl01Mdests-visitors
4,2.107534906832298,,1.109711269898403,0.0,0.3958082818659146,-1,1,ubahn-2,dest-lvl01M-süd,fastest,metro-inside-lvlB01ANDlvl01Mdests-visitors-2
5,2.107534906832298,,1.45370251764961,0.0,0.41144169803258207,-1,1,ubahn-2,dest-lvl01M-nord,fastest,metro-outside-lvlB01ANDlvl01Mdests
6,2.107534906832298,,1.5411030668724828,0.0,0.4027241569574296,-1,1,afimoll-city,dest-lvl01M-midSouth-right,fastest,affimolCity-outside-lvlB01ANDlvl01
7,3.161302360248447,,0.7817486589401281,0.0,0.3935002859289397,-1,1,ubahn-1,,fastest,metro-inside-lvlB01ANDlvl01Mdests-visitors-2
8,3.161302360248447,,1.5272425622439063,0.0,0.3941541187883485,-1,1,ubahn-1,dest-lvl01M-midNorth-left,fastest,metro-inside-lvlB01ANDlvl01Mdests
9,3.161302360248447,,1.5165057946663403,0.0,0.40960110342937006,-1,1,ubahn-2,dest-lvl01-midNorth-left,fastest,metro-inside-lvlB01ANDlvl01Mdests
10,3.161302360248447,,1.2206998297157734,0.0,0.39190273059643127,-1,1,ubahn-2,dest-lvl01M-midSouth-right,fastest,metro-inside-lvlB01ANDlvl01Mdests
11,3.161302360248447,,1.260820566434179,0.0,0.38910543020549004,-1,1,afimoll-city,,fastest,affimolCity-outside-lvlB01ANDlvl01-visitors
12,3.161302360248447,,1.1333011080064808,0.0,0.4127364430382425,-1,1,Vystavochnyy-Pereulok,dest-lvl01M-midSouth-left,fastest,vystavochnyyPereulok-lvl01ANDlvl01Mdests
13,4.215069813664596,,1.4303082378936431,0.0,0.3945004278092028,-1,1,ubahn-1,dest-lvl01M-süd,fastest,metro-inside-lvlB01ANDlvl01Mdests
14,4.215069813664596,,0.9847269689157438,0.0,0.3915150719166358,-1,1,ubahn-1,dest-lvl01-west,fastest,metro-outside-lvlB01ANDlvl01Mdests
15,4.215069813664596,,1.2615145635648581,0.0,0.38951904867649473,-1,1,ubahn-2,dest-lvl01M-midNorth-left,fastest,metro-inside-lvlB01ANDlvl01Mdests
16,4.215069813664596,,1.1958528199598535,0.0,0.38389205756748995,-1,1,ubahn-2,dest-lvl01-midSouth-right,fastest,metro-outside-lvlB01ANDlvl01Mdests
17,4.215069813664596,,1.451917555275185,0.0,0.40675751093849893,-1,1,afimoll-city,dest-lvl01M-nord,fastest,afimollCity-inside-lvl01ANDlvl01Mdests
18,5.268837267080745,,0.9561170248353426,0.0,0.4111351135529612,-1,1,ubahn-1,dest-lvl01-midNorth-left,fastest,metro-inside-lvlB01ANDlvl01Mdests
19,5.268837267080745,,1.0611372709020395,0.0,0.41350279253647715,-1,1,ubahn-2,dest-lvl01-mid,fastest,metro-inside-lvlB01ANDlvl01Mdests
20,5.268837267080745,,1.5551493483126082,0.0,0.3869237272859285,-1,1,afimoll-city,dest-lvl01-süd,fastest,afimollCity-inside-lvl01ANDlvl01Mdests-visitors
21,5.268837267080745,,1.1894993901362603,0.0,0.4031541140631775,-1,1,Vystavochnyy-Pereulok,dest-lvl01M-midSouth-left,fastest,vystavochnyyPereulok-lvl01ANDlvl01Mdests-visitors
22,5.268837267080745,,1.152317137955646,0.0,0.3877602399241623,-1,1,Mercury-Tower,dest-lvl01M-midSouth-left,fastest,mercuryTower-lvl01ANDlvl01Mdests-visitors
23,5.268837267080745,,1.4211356902980445,0.0,0.39652834662521436,-1,1,Krasnogvardeyskiy-Proyezd,dest-lvl01M-süd,fastest,krasnogvardeyskiyProyezd-lvl01ANDlvl01Mdests
24,6.322604720496894,,1.1883978356148908,0.0,0.3868186142209242,-1,1,ubahn-1,dest-lvl01-mid,fastest,metro-inside-lvlB01ANDlvl01Mdests
25,6.322604720496894,,1.4246036437038432,0.0,0.4067584335202848,-1,1,ubahn-1,dest-lvl01-süd,fastest,metro-inside-lvlB01ANDlvl01Mdests
26,6.322604720496894,,1.3849637767282328,0.0,0.3848465037692367,-1,1,ubahn-2,dest-lvl01-süd,fastest,metro-inside-lvlB01ANDlvl01Mdests
27,6.322604720496894,,1.0312959806386683,0.0,0.4084652171795163,-1,1,ubahn-2,dest-lvl01-midSouth-right,fastest,metro-inside-lvlB01ANDlvl01Mdests
28,6.322604720496894,,1.3385162646709985,0.0,0.39537969683188445,-1,1,afimoll-city,dest-lvl01M-midNorth-left,fastest,afimollCity-inside-lvl01ANDlvl01Mdests
29,6.322604720496894,,1.2318903878439258,0.0,0.4135002565222559,-1,1,citySquare,dest-lvl01-midNorth-left,fastest,citySquare-lvl01Mdests-visitors
30,7.376372173913043,,0.8974824521224132,0.0,0.4051527146981475,-1,1,ubahn-1,,fastest,metro-inside-lvlB01ANDlvl01Mdests
